Method,Indicator,Indicator unit,Flowable,Flow UUID,Context,Characterization Factor,Unit
WARM (MTCO2E),GHGs,MTCO2E,Carbon,80bb6903-93b7-4c04-ac53-37775125af8d,"['Elementary flows', 'resource', 'in ground']",-3.6666666666666665,t
WARM (MTCO2E),GHGs,MTCO2E,Carbon dioxide,7ae371aa-8532-11e0-9d78-0800200c9a66,"['Elementary flows', 'air', 'unspecified']",1.0,t
WARM (MTCO2E),GHGs,MTCO2E,Methane,20408dd1-8534-11e0-9d78-0800200c9a66,"['Elementary flows', 'air', 'unspecified']",25.0,t
WARM (MTCO2E),GHGs,MTCO2E,Dinitrogen monoxide,20185046-64bb-4c09-a8e7-e8a9e144ca98,"['Elementary flows', 'air', 'unspecified']",298.0,t
WARM (MTCO2E),GHGs,MTCO2E,"GHGs, unspecified",403f41d9-5f1c-448c-ab5e-6548d9ffdb64,"['Elementary flows', 'air', 'unspecified']",1.0,MTCO2E
WARM (MTCO2E),GHGs,MTCO2E,"Methane, tetrafluoro-, R-14",33681770-a0e1-4ce8-93c3-941fd607fa5f,"['Elementary flows', 'air', 'unspecified']",7390.0,t
WARM (MTCO2E),GHGs,MTCO2E,"Ethane, hexafluoro-, HFC-116",acc39720-dda7-4b3a-80c7-c6394cad4191,"['Elementary flows', 'air', 'unspecified']",12200.0,t
WARM (MTCO2E),GHGs,MTCO2E,Carbon,9ed04856-b565-46c4-8163-eb0616409abc,"['Elementary flows', 'resource', 'biotic']",-3.6666666666666665,t
WARM (MTCO2E),GHGs,MTCO2E,"Carbon, in organic matter, in soil",8c2fe757-6866-4ed2-9f89-81012ad774a0,"['Elementary flows', 'resource', 'in ground']",-3.6666666666666665,t
WARM (Energy),Energy consumption,MBTU,"Energy, unspecified",3e756464-b439-4b1e-8e4b-64e2173cc5ce,"['Elementary flows', 'resource', 'unspecified']",1e-06,btu
WARM (Jobs),Jobs,Jobs,Jobs,f45fbcf0-24f0-4ce1-b1d9-78f2ed0d5a34,['Economic flows'],1.0,Item(s)
WARM (Labor Hours),Jobs,Jobs,Jobs,f45fbcf0-24f0-4ce1-b1d9-78f2ed0d5a34,['Economic flows'],2080.0,Item(s)
WARM (Wages),Wages,USD 2007,Wages,8c2daef6-fd94-410b-a258-7df1f02c1bce,['Economic flows'],1.0,USD 2007
WARM (Taxes),Taxes,USD 2007,Taxes,c9f2c667-eeab-448e-9c0c-6da04000fda6,['Economic flows'],1.0,USD 2007
